nombre	creditos	carrera_id
calculo diferencial	5	ISIC
calculo integral	5	ISIC
calculo vectorial	5	ISIC
ecuaciones diferenciales	5	ISIC
graficacion	4	ISIC
lenguajes y automatas 1	5	ISIC
lenguajes y automatas 2	5	ISIC
programacion logica y funcional	4	ISIC
inteligencia artificial	4	ISIC
fundamentos de programacion	5	ISIC
programacion orientada a objetos	5	ISIC
estructura de datos	5	ISIC
metodos numericos	4	ISIC
fundamentos de telecomunicaciones	4	ISIC
redes de computadoras	5	ISIC
conmutacion y enrutamiento en redes de datos	5	ISIC
administracion de redes	4	ISIC
taller de etica	4	ISIC
contabilidad financiera	4	ISIC
cultura empresarial	4	ISIC
topicos avanzados de programacion	5	ISIC
sistemas operativos	4	ISIC
taller de sistemas operativos	4	ISIC
taller de investigacion 1	4	ISIC
taller de investigacion 2	4	ISIC
matematicas discretas	5	ISIC
quimica	4	ISIC
investigacion de operacioness	4	ISIC
fundamentos de base de datos	5	ISIC
taller de base de datos	4	ISIC
administracion de base der datos	5	ISIC
taller de administracion 	4	ISIC
algebra lineal 	5	ISIC
desarrollo sustentable	5	ISIC
simulacion	5	ISIC
fundamentos de ingenieria de software	4	ISIC
ingenieria de software	5	ISIC
gestion de proyectos de software	6	ISIC
programacion web	5	ISIC
fundamentos de investigacion	4	ISIC
probabilidad y estadistica	5	ISIC
fisica general	5	ISIC
principios electricos y aplicaciones digitales	5	ISIC
arquitectura de computadoras	5	ISIC
lenguajes de interfaz	4	ISIC
sistemas programables	4	ISIC
Química inorganica	5	IAMB
fundamentos de quimica organica	5	IAMB
quimica analitica	6	IAMB
analisis intrumental	5	IAMB
fenomenos de transporte	5	IAMB
taller de investigacion 1	4	IAMB
taller de investigacion 2	4	IAMB
seguridad e higiene industrial	4	IAMB
calculo diferencial	5	IAMB
algebra lineal 	5	IAMB
calculo vectorial	5	IAMB
ecuaciones diferenciales	5	IAMB
sistemas de informacion geografica	4	IAMB
contaminacion atmosferica	5	IAMB
fundamentos de aguas residuales	6	IAMB
dibujo asistido por computadora	4	IAMB
fisica 	5	IAMB
diseño de expérimentos ambientales	4	IAMB
balance de materia y energia	5	IAMB
gestion ambiental 1	5	IAMB
gestion ambiental 2	4	IAMB
evaluacion de impacto ambiental	5	IAMB
formulacion y evaluacion de proyectos	5	IAMB
taller de etica	4	IAMB
probabilidad y estadistica ambiental	5	IAMB
termodinamica	5	IAMB
desarrollo sustentable	5	IAMB
mecanica de fluidos	5	IAMB
ingenieria de costos	4	IAMB
fundamentos de investigacion	4	IAMB
calculo integral	5	IAMB
economia ambiental	3	IAMB
fisioquimica 1	5	IAMB
fisioquimica 2	5	IAMB
gestion de residuos	6	IAMB
remediacion de suelos	6	IAMB
biologia	5	IAMB
ecologia	5	IAMB
bioquimica	6	IAMB
microbiologia	6	IAMB
toxicologia ambiental	5	IAMB
componentes de equipo industral	5	IAMB
fundamentos de investigacion	4	IBQA
administracion y legislacion de empresas	3	IBQA
calculo vectorial	5	IBQA
programacion y metodos numericos	5	IBQA
ingenieria economica	3	IBQA
operaciones unitarias 1	6	IBQA
taller de investigacion 2	4	IBQA
ingenieria de proyectos	4	IBQA
formulacion y evaluacion de proyectos	5	IBQA
calculo diferencial	5	IBQA
calculo integral	5	IBQA
ecuaciones diferenciales	5	IBQA
electromagnetismo	5	IBQA
fenomenos de transporte 1	6	IBQA
fenomenos de transporte 2	6	IBQA
opereciones unitarias 3	6	IBQA
ingenieria y gestion ambiental	5	IBQA
quimica	5	IBQA
quimica organica 1	5	IBQA
quimica organica 2	5	IBQA
bioquimica	6	IBQA
bioquimica del nitrogeno y regulacion genetica	6	IBQA
microbiologia	6	IBQA
opereciones unitarias 2	6	IBQA
ingenieria de procesos	5	IBQA
taller de etica	4	IBQA
biologia	5	IBQA
termodinamica	5	IBQA
balance de materia y energia	5	IBQA
fisioquimica	5	IBQA
seguridad e higiene	2	IBQA
ingenieria de biorreactores	5	IBQA
comportamiento organizacional	2	IBQA
quimica analitica	6	IBQA
fisica	5	IBQA
analisis intrumental	5	IBQA
desarrollo sustentable	5	IBQA
cinetica quimica y biologica	5	IBQA
dibujo asistido por computadora	3	IBQA
algebra lineal 	5	IBQA
estadistica	5	IBQA
aseguramiento de la calidad	3	IBQA
instrumentacion y control	5	IBQA
taller de investigacion 1	4	IBQA
calculo diferencial	5	IELE
calculo integral	5	IELE
calculo vectorial	5	IELE
ecuaciones diferenciales	5	IELE
control 1	5	IELE
control 2	5	IELE
control de maquinas electricas	5	IELE
costos y presupuesto de proyecto	4	IELE
quimica	4	IELE
mecanica clasica	5	IELE
